Project,JNI files,% of affected files EILC,TMC,TMS,UNMD,UNMI,UP,ASMRV,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO
ADI-master,2,0,0,0,50,0,50,0,0,50,0,0,100,100,50,50
android-tree-sitter-main,9,11.11,33.33,22.22,0,33.33,0,0,0,11.11,11.11,0,33.33,22.22,22.22,0
Android-Zbar-JNI-Example-master,4,25,75,0,0,100,0,0,0,0,25,0,25,100,100,0
AndroidDevWithCpp-master,13,30.77,0,76.92,15.38,38.46,7.69,0,0,7.69,23.08,0,76.92,23.08,23.08,0
AndroidJNIDemo-master,6,16.67,16.67,0,0,83.33,0,0,0,0,16.67,0,66.67,100,100,0
Break_it_all-main,2,0,100,0,0,50,50,100,0,0,0,0,100,100,100,0
dedekind-MKL-master,3,0,66.67,0,0,0,0,33.33,0,0,33.33,0,100,33.33,0,0
DevSlashLirc-master,3,0,66.67,0,66.67,66.67,0,0,0,0,33.33,0,66.67,33.33,0,0
extension_sdk_demo-master,5,0,0,80,0,20,80,0,0,0,80,0,120,20,20,0
faiss-center-master,1,100,100,0,100,100,100,0,0,0,0,0,0,100,0,0
FumoCement-main,15,0,0,100,13.33,13.33,6.67,6.67,0,0,0,0,6.67,0,0,0
gdal-warp-bindings-master,1,100,100,0,0,100,0,0,0,100,100,0,0,100,0,0
GrandPlan-main,1,100,100,0,0,100,0,0,0,0,100,0,0,100,100,0
hello-jniCallback-master,8,0,0,87.5,0,37.5,12.5,0,0,0,37.5,0,87.5,50,50,12.5
Intel_SGX_Proj-master,8,25,0,0,0,0,0,0,0,0,25,0,0,62.5,37.5,0
ipc-master,2,0,0,0,0,0,0,0,0,0,0,0,50,100,100,0
janot-master,7,0,14.29,71.43,14.29,14.29,14.29,0,0,0,14.29,0,14.29,28.57,28.57,0
JavaCAN-javacan-1.2,1,100,100,0,0,100,0,0,0,0,0,0,100,100,0,0
JavaCAN-master,5,40,40,0,0,0,0,0,0,0,0,0,0,20,0,0
JavaNativeUtils-master,7,57.14,57.14,0,0,57.14,14.29,0,0,57.14,14.29,0,57.14,14.29,0,14.29
jazzer-0.9,4,25,50,0,0,50,0,0,0,0,0,0,75,25,25,0
jdetector-master,5,40,20,40,0,80,0,0,0,40,0,0,120,60,60,0
jni_examples-master,7,0,0,28.57,0,14.29,0,0,0,0,14.29,0,28.57,85.71,85.71,0
jni-bind-Release-0.1.0-alpha,8,50,0,25,0,12.5,12.5,0,0,0,0,0,12.5,100,100,0
JniDemo-master,5,20,20,40,0,60,0,0,0,0,0,0,40,100,100,20
JNIHelper-master,1,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0
jogg-master,6,16.67,66.67,0,16.67,83.33,0,0,0,0,16.67,0,66.67,16.67,16.67,0
jopus-master,6,0,50,0,33.33,66.67,0,0,0,0,0,0,50,16.67,16.67,0
jpa-master,1,100,100,0,0,100,0,0,0,0,0,100,100,0,0,0
jpegkit-android-master,2,0,0,0,0,0,0,0,0,50,0,0,50,100,100,0
jpostal-master,4,0,0,100,0,0,0,0,0,50,50,0,50,100,100,25
JTouchToolkit-master,6,50,33.33,0,0,66.67,33.33,0,0,0,66.67,0,50,66.67,66.67,0
jzorba-master,2,0,0,0,50,50,0,0,0,0,50,0,100,100,50,0
leveldbjni-master,1,100,0,0,0,0,0,0,100,0,100,0,0,100,0,0
libhpdf-AndroidLibrary-master,2,50,100,0,0,100,0,0,0,0,0,0,100,100,100,0
LibOQSTestApp-master,5,40,0,60,0,80,0,0,0,0,0,0,40,20,20,0
libpulse-android-master,11,0,0,81.82,9.09,27.27,0,0,0,0,0,0,36.36,9.09,9.09,0
libv4l2-master,1,0,0,0,0,100,0,0,0,100,0,0,100,100,100,100
LimeLight-master,8,12.5,12.5,0,25,0,25,0,0,0,25,0,87.5,25,25,0
ndk-master,21,9.52,0,19.04,9.52,4.76,0,9.52,0,0,0,0,38.1,90.48,85.71,0
ndk-someiplib-main,2,0,100,0,0,50,0,0,0,0,100,0,50,100,100,0
neutrino-master,9,11.11,33.33,55.56,0,33.33,11.11,0,0,0,0,0,11.11,11.11,0,0
of_core_jni-main,2,50,100,0,50,100,50,0,0,0,0,0,150,50,50,0
openssl4j-master,2,50,0,0,0,0,0,0,0,0,0,0,150,50,0,0
PYJA-master,4,0,0,0,0,75,0,0,0,0,0,0,25,25,25,0
RajawaliAssimpBridge-master,1,100,0,0,0,100,0,0,0,0,100,0,0,100,100,0
RajawaliTollBridge-main,1,100,0,0,0,100,0,0,0,0,100,0,0,100,100,0
RobotPathfinder-master,5,40,60,0,0,20,0,0,20,60,0,0,120,20,20,0
rtlsdrj-main,1,0,100,0,0,100,0,0,0,0,0,0,0,100,100,0
rustjblas-master,1,0,0,0,0,0,0,0,0,0,100,0,100,100,0,0
SDL2-Ndk-Opengles-SampleApp-master,2,100,50,100,0,0,50,0,0,0,50,50,100,50,0,0
sdljoystick4java-master,1,100,100,0,0,100,0,0,0,0,0,0,0,100,100,0
SoundTouch4Android-master,1,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0
VideoEffectRendering-master,2,100,100,0,0,100,0,0,0,0,50,0,0,100,100,0
webrtc-java-0.2.0,23,52.17,17.39,43.47,0,60.87,4.35,0,0,52.17,4.35,0,4.35,4.35,0,4.35
webrtc-java-master,27,51.85,25.93,40.74,0,59.26,0,0,0,62.96,3.7,0,11.11,3.7,0,7.41
wolfcrypt-jni-master,42,4.76,2.38,19.04,4.76,11.9,2.38,0,0,0,2.38,0,0,4.76,4.76,0
wolfssljni-master,9,22.22,11.11,55.55,0,11.11,0,0,0,0,0,0,0,11.11,11.11,0
zmq-jni-master,1,100,100,0,0,100,0,0,100,0,100,0,100,100,0,0
zstd-jni-master,9,66.67,11.11,33.33,11.11,11.11,11.11,0,11.11,0,11.11,0,77.78,11.11,0,33.33
